symbol
AARTIIND
ABCAPITAL
ADANIPOWER
AMBUJACEM
APOLLOTYRE
ASHOKLEY
BANDHANBNK
BANKBARODA
BATAINDIA
BEL
BHEL
BIOCON
BPCL
BSOFT
CANBK
CGPOWER
COALINDIA
CONCOR
CROMPTON
CUB
CYIENT
DABUR
DELHIVERY
DEVYANI
DLF
EMAMILTD
ETERNAL
EXIDEIND
FEDERALBNK
FSL
GAIL
GNFC
GODREJCP
GRANULES
GUJGASLTD
HAPPSTMNDS
HDFCBANK
HDFCLIFE
HFCL
HINDCOPPER
HINDPETRO
ICICIPRULI
IEX
IGL
INDHOTEL
INDUSTOWER
INTELLECT
IOC
IRCTC
JMFINANCIL
JSWENERGY
JUBLFOOD
JUBLINGREA
KEC
KOTAKBANK
KPITTECH
LEMONTREE
LICHSGFIN
LICI
M&MFIN
MANAPPURAM
MANYAVAR
MARICO
MAXHEALTH
MOTHERSON
MOTILALOFS
NATIONALUM
NCC
NIACL
NLCINDIA
NTPC
OIL
ONGC
PATANJALI
PETRONET
PFC
PNB
POONAWALLA
POWERGRID
PPLPHARMA
QUESS
RAILTEL
RAIN
RAYMOND
RBLBANK
RECLTD
RVNL
SAIL
SAMMAANCAP
SAPPHIRE
SBICARD
SONACOMS
SPARC
SUMICHEM
SYNGENE
TANLA
TATACHEM
TATAPOWER
TATASTEEL
TMPV
TRIVENI
TTKPRESTIG
UNIONBANK
UPL
USHAMART
VAIBHAVGBL
VBL
VEDL
VGUARD
WIPRO
ZEEL
ZENSARTECH
